id,mag,type,ra,dec,coord_source
AT2025abao,15.1,LRN,10.358333333333334,41.01444444444444,Rochester_Detail_Page
AT2025acfl,16.5,EGN,10.687499999999998,41.255,Rochester_Detail_Page
AT2025zov,15.5,unk,,,
